Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2008-06-19,-15541.68782156038,,,,,,
2008-06-20,-14356.362041103836,,,,,,
2008-06-23,-16657.74234486871,,,,,,
2008-06-24,-15705.241720866368,,,,,,
2008-06-25,-18424.536863869886,,,,,,
2008-06-26,-42480.9285164522,,,,,,
2008-06-27,-43787.83154307214,,,,,,
2008-06-30,-46662.822038597355,,,,,,
2008-07-01,-55119.704371611595,,,,,,
2008-07-02,-53923.444098293556,,,,,,
2008-07-03,-23674.018276593102,,,,,,
2008-07-07,-11734.701638355767,,,,,,
2008-07-08,-4091.7330452841247,,,,,,
2008-07-09,-11206.309059145658,,,,,,
2008-07-10,-4859.767404912753,,,,,,
2008-07-11,-5954.482372530174,,,,,,
2008-07-14,-16808.883927885712,,,,,,
2008-07-15,-415.16151790704436,,,,,,
2008-07-16,19465.60328453214,,,,,,
2008-07-17,25435.488713487895,,,,,,
2008-07-18,23781.251054940643,,,,,,
2008-07-21,23298.177966219046,,,,,,
2008-07-22,7265.4878514023185,,,,,,
2008-07-23,1883.3493879172022,,,,,,
2008-07-24,1145.054162969444,,,,,,
2008-07-25,-3528.142397792621,,,,,,
2008-07-28,-3463.169507528591,,,,,,
2008-07-29,-12332.51547774931,,,,,,
2008-07-30,-7411.176040340529,,,,,,
2008-07-31,-4138.61749906139,,,,,,
2008-08-01,-9787.156752335266,,,,,,
2008-08-04,2274.5180703443593,,,,,,
2008-08-05,17212.531159876864,,,,,,
2008-08-06,13924.423325069803,,,,,,
2008-08-07,-2933.282129038954,,,,,,
2008-08-08,5108.5352885528155,,,,,,
2008-08-11,-5397.845802045096,,,,,,
2008-08-12,-20059.14752665548,,,,,,
2008-08-13,-17101.50209014687,,,,,,
2008-08-14,-20659.732471318464,,,,,,
